iter	MAPE	RMSE
0	0.941301447	1172943.162
1	0.8888646847	1122855.042
2	0.8391547369	1075073.872
3	0.7916947999	1030243.029
4	0.7463535178	988010.0662
5	0.7028579098	949147.5185
6	0.6628495897	910589.4756
7	0.6242260107	875075.3589
8	0.5886517753	840181.0675
9	0.5544124371	808436.7942
10	0.5222338821	778181.9047
11	0.4915146606	749197.5933
12	0.4632979055	722797.5435
13	0.4373550819	697442.4656
14	0.4133275619	673025.9235
15	0.3909637309	650346.4346
16	0.3702091263	629047.1345
17	0.3515269296	608792.2872
18	0.3339771706	590302.4754
19	0.3182132185	572123.9229
20	0.3038000621	555693.7765
21	0.2909993335	540101.8315
22	0.2792202958	525622.6722
23	0.2687183133	512034.0307
24	0.2589776	498524.588
25	0.2505186741	486436.7062
26	0.2414028564	475188.6021
27	0.2345923895	464212.2167
28	0.2284652486	454144.2147
29	0.22340094	445007.8316
30	0.2184205821	436514.3509
31	0.2138466455	427843.1255
32	0.2096817918	420162.8095
33	0.2061383073	412783.3512
34	0.2030651139	405935.5967
35	0.2009520598	399811.261
36	0.1988735065	394438.9009
37	0.1961979006	389032.3024
38	0.1942820895	383788.9528
39	0.1930211255	378897.8012
40	0.1917451609	374200.874
41	0.1906162577	369692.9819
42	0.1899305673	365548.4699
43	0.1894687352	362118.872
44	0.1891897505	358967.4801
45	0.1889918905	355964.8243
46	0.1879824087	352933.7767
47	0.1879108801	350160.3072
48	0.1879525259	347547.8741
49	0.1879312501	345157.1548
50	0.187487885	342883.5397
51	0.1878158079	341007.4239
52	0.1875141492	338799.5446
53	0.1874671928	336817.2669
54	0.1872879064	334842.7064
55	0.186772819	333034.8604
56	0.1866458249	331332.14
57	0.1865447059	329824.9825
58	0.1861493987	328304.9086
59	0.1857646379	326723.0378
60	0.1860942183	325528.9244
61	0.1856472995	324101.1121
62	0.1853471712	322946.8022
63	0.1848582709	321500.5676
64	0.1851565581	320421.3012
65	0.1849397787	319448.7207
66	0.1851242309	318570.2339
67	0.1850024976	317404.0788
68	0.1850256108	316443.4206
69	0.1850950774	315556.0195
70	0.1849791404	314580.8709
71	0.1846488541	313509.1029
72	0.1842197272	312668.4484
73	0.184112392	311812.827
74	0.1837876646	310892.8585
75	0.1835116956	309947.1744
76	0.1834444311	309287.3768
77	0.1833099722	308721.5481
78	0.1832499431	307992.7436
79	0.1831162323	307518.5586
80	0.1827469465	307077.0106
81	0.1827784818	306392.6909
82	0.1828591315	305610.2101
83	0.1823869768	304998.0868
84	0.1823710262	304534.3681
85	0.1822245735	304047.5389
86	0.181957308	303490.2845
87	0.1814568271	302937.5221
88	0.1812128215	302414.181
89	0.1808475633	301850.9729
90	0.1807656135	301420.6308
91	0.1807477858	300852.9259
92	0.1804722198	300326.8317
93	0.1802407538	299780.9104
94	0.1802327298	299300.0982
95	0.1799316031	298798.7543
96	0.1796629881	298266.0499
97	0.1795617537	297841.7569
98	0.179356046	297437.287
99	0.179236611	297053.8828
100	0.1791810457	296682.1575
101	0.1789888704	296002.7246
102	0.1788850605	295419.557
103	0.1787643449	294889.3394
104	0.1787736078	294644.6253
105	0.1786339482	293952.9736
106	0.1783277299	293544.9992
107	0.1779871047	293025.6835
108	0.1775999546	292545.5164
109	0.1771967393	292191.6737
110	0.1770134706	291635.4315
111	0.1769149008	291251.0563
112	0.1766437338	290874.666
113	0.1763755643	290617.3149
114	0.176190333	290208.6216
115	0.1760414694	289908.6945
116	0.1759775655	289548.4578
117	0.1758100451	289102.3827
118	0.1753685704	288788.6659
119	0.1752172135	288338.9169
120	0.1751249439	288022.9443
121	0.1750289554	287746.956
122	0.1748272332	287200.3534
123	0.1747032328	286986.4308
124	0.1745323921	286621.2571
125	0.1742962015	286305.8426
126	0.174232414	286092.4096
127	0.1741381315	285945.4291
128	0.1740593042	285669.7187
129	0.1737438839	285317.4579
130	0.1736252192	285161.8887
131	0.1735999004	284980.0494
132	0.173458891	284761.7346
