iter	Logloss
0	0.6926728114
1	0.6921231394
2	0.6917293751
3	0.691324258
4	0.6909326164
5	0.690470404
6	0.6901232541
7	0.6897054489
8	0.6893219422
9	0.6890121295
10	0.6885846682
11	0.6881777054
12	0.6877338162
13	0.6873791475
14	0.6870556238
15	0.6866835999
16	0.6863616813
17	0.6859801201
18	0.6856539266
19	0.6852638826
20	0.6849107735
21	0.6845460282
22	0.6841961877
23	0.6837536979
24	0.6833368181
25	0.6830085439
26	0.682756264
27	0.6823903738
28	0.6819810943
29	0.6816411749
30	0.681170839
31	0.6807594868
32	0.6804043748
33	0.6801090937
34	0.6797309702
35	0.6792613857
36	0.6788533078
37	0.6784080607
38	0.6780857154
39	0.6777216527
40	0.6773643994
41	0.6769922752
42	0.6765894346
43	0.6762189491
44	0.6758725883
45	0.6755173075
46	0.6751712996
47	0.6747873733
48	0.6743640856
49	0.6740184408
50	0.6736093459
51	0.6732197829
52	0.6728810785
53	0.6725489076
54	0.672207042
55	0.6717521844
56	0.6714157824
57	0.6709647116
58	0.6705537267
59	0.6701178504
60	0.6697193426
61	0.6692670076
62	0.6688821343
63	0.6685267943
64	0.6681802541
65	0.6678183203
66	0.6674138408
67	0.667041471
68	0.6666351456
69	0.6662000538
70	0.6658380172
71	0.6654503308
72	0.6650671991
73	0.6647423751
74	0.66433172
75	0.664002868
76	0.6636499518
77	0.6633191381
78	0.6630147235
79	0.6627076016
80	0.6622963683
81	0.6619764867
82	0.6615467358
83	0.6610906084
84	0.6606963133
85	0.6603629784
86	0.6600526532
87	0.6596984062
88	0.6593563207
89	0.6589470686
90	0.6585258481
91	0.6581562954
92	0.6577605726
93	0.6574675515
94	0.6571108715
95	0.6567719206
96	0.6564345441
97	0.656083402
98	0.6557582846
99	0.6553491187
100	0.654951074
101	0.6546557014
102	0.6542933183
103	0.6538550258
104	0.6535402997
105	0.6532275616
106	0.6528848078
107	0.6525888744
108	0.6522299833
109	0.6519273159
110	0.6515963677
111	0.6512303379
112	0.6508867483
113	0.6505008723
114	0.6501373344
115	0.6498113444
116	0.6494859444
117	0.6491657947
118	0.6487873301
119	0.648455748
120	0.6481256779
121	0.6478310422
122	0.6475095223
123	0.6472212607
124	0.6469400008
125	0.6465227957
126	0.6462591267
127	0.6459377356
128	0.6456336158
129	0.6453465515
130	0.6449852478
131	0.6446092129
132	0.6442884489
133	0.6439123894
134	0.6436319459
135	0.6433155333
136	0.6429226591
137	0.6425447349
138	0.6422583423
139	0.6419236683
140	0.6416174053
141	0.6413336715
142	0.6410790576
143	0.6407771771
144	0.6405277241
145	0.640204197
146	0.6398776386
147	0.6394409847
148	0.6390211661
149	0.6386797471
150	0.6383585348
151	0.6379844458
152	0.6376115903
153	0.6373518228
154	0.6370294861
155	0.6367343596
156	0.6364811592
157	0.6361679903
158	0.6358656959
159	0.6355833662
160	0.6352691051
161	0.6349855272
162	0.6346486371
163	0.6343632198
164	0.633968311
165	0.6336157358
166	0.6331544207
167	0.6328073844
168	0.6324612392
169	0.632163646
170	0.6318770069
171	0.631539216
172	0.6312389655
173	0.6308777754
174	0.630585116
175	0.6303319459
176	0.6300916416
177	0.6298269927
178	0.6295427383
179	0.6292249008
180	0.6289189705
181	0.6285460033
182	0.6282839725
183	0.627971781
184	0.6276831962
185	0.62739472
186	0.6270543783
187	0.6267430921
188	0.6263784536
189	0.6260825945
190	0.625808476
191	0.6253868608
192	0.6250246065
193	0.6247460363
194	0.6244968243
195	0.6241795709
196	0.6238741668
197	0.6235818521
198	0.6231976196
199	0.6229176217
200	0.6225331285
201	0.6221728916
202	0.6218566171
203	0.6215542641
204	0.6213031238
205	0.6210401692
206	0.620743566
207	0.6203987227
208	0.6201225516
209	0.619863596
210	0.6195671387
211	0.6192876302
212	0.6190018731
213	0.6187685562
214	0.6184117717
215	0.6180694647
216	0.6177177923
217	0.6174416708
218	0.6171505543
219	0.6168386162
220	0.6166052833
221	0.6163260051
222	0.6160597817
223	0.6157661648
224	0.6155245214
225	0.6152959677
226	0.6150285983
227	0.6147435221
228	0.6144141994
229	0.6140796198
230	0.6137580412
231	0.6134572332
232	0.6131866166
233	0.6128267983
234	0.6125738286
235	0.6122890244
236	0.6119947223
237	0.6117274016
238	0.6114351971
239	0.6111028463
240	0.6107631508
241	0.6104801611
242	0.6102261118
243	0.6099562177
244	0.6097294058
245	0.6093415722
246	0.6090226728
247	0.6086783564
248	0.6083441074
249	0.607972037
250	0.6076771716
251	0.6074303576
252	0.6070683309
253	0.6067956175
254	0.6064381257
255	0.6061603762
256	0.6059135656
257	0.6056973419
258	0.6054436514
259	0.605240264
260	0.6049366356
261	0.6046619471
262	0.6042697954
263	0.6039079339
264	0.6036804488
265	0.6034551643
266	0.6032007032
267	0.6029745895
268	0.602722909
269	0.6024406882
270	0.6021345847
271	0.6018712578
272	0.6015519849
273	0.6012162028
274	0.6009298228
275	0.6007202151
276	0.600466177
277	0.6002346906
278	0.6000128993
279	0.5997353259
280	0.5995065588
281	0.5991807191
282	0.5988687693
283	0.5986795168
284	0.5984207606
285	0.5981616327
286	0.597898251
287	0.5976483775
288	0.5974415442
289	0.5972169766
290	0.5969846342
291	0.5967152398
292	0.5964958214
293	0.5962108483
294	0.5958910808
295	0.5956593293
296	0.5954420044
297	0.5951889746
298	0.5949253926
299	0.5947132516
300	0.5944520213
301	0.5941471791
302	0.5939057192
303	0.5936614026
304	0.5935072342
305	0.5932091511
306	0.5929611174
307	0.5927259466
308	0.5923752691
309	0.592135342
310	0.5919315673
311	0.5916517145
312	0.5914219279
313	0.5911713379
314	0.5908970325
315	0.59066112
316	0.5904424931
317	0.5900850339
318	0.5898387479
319	0.5895858499
320	0.5893200499
321	0.5890416188
322	0.5888305973
323	0.5886180215
