iter	Logloss
0	0.6710526767
1	0.6521254725
2	0.6348330285
3	0.6208541953
4	0.6063876057
5	0.5935919342
6	0.5819503261
7	0.5716978025
8	0.5628744721
9	0.5553864511
10	0.5475979755
11	0.5407249669
12	0.5349330267
13	0.5295803553
14	0.5247586577
15	0.5210268726
16	0.5165589897
17	0.5134316726
18	0.5102756017
19	0.5073095382
20	0.5044622761
21	0.5018018785
22	0.4991982141
23	0.4969573991
24	0.4951510456
25	0.4930673449
26	0.4912532563
27	0.4893527506
28	0.4876991224
29	0.4864924468
30	0.484800843
31	0.4837057273
32	0.4824884833
33	0.4816114348
34	0.4804874368
35	0.4794102912
36	0.4783878388
37	0.4774584675
38	0.47662459
39	0.4756250483
40	0.4746889111
41	0.4736268547
42	0.472549477
43	0.4718798623
44	0.471041184
45	0.4702427344
46	0.4693092113
47	0.4687734479
48	0.4681491959
49	0.4673250441
50	0.4666482003
51	0.4661975629
52	0.4654321771
53	0.4649845238
54	0.4641070796
55	0.4635935449
56	0.4629725389
57	0.4624567535
58	0.4619558833
59	0.4613987549
60	0.4608362669
61	0.460291358
62	0.4596600461
63	0.4588523099
64	0.4584672759
65	0.4578630708
66	0.4572304528
67	0.4567663302
68	0.4562433992
69	0.4557603387
70	0.4552563537
71	0.4548755206
72	0.4542318254
73	0.4536909514
74	0.4533360018
75	0.4528526346
76	0.4524073897
77	0.4518756425
78	0.4514918991
79	0.4510292622
80	0.4504113497
81	0.4499341795
82	0.4495854937
83	0.4492512795
84	0.4488327659
85	0.4482389005
86	0.4478336089
87	0.4473346999
88	0.4470513525
89	0.4466331459
90	0.4460863802
91	0.4455825498
92	0.4451648359
93	0.4447958479
94	0.4445350824
95	0.44413824
96	0.4435888603
97	0.443231581
98	0.4430129699
99	0.4426237114
100	0.4423792992
101	0.4422482221
102	0.4419953813
103	0.4415050425
104	0.4412950562
105	0.4409954837
106	0.4407348636
107	0.4404061882
108	0.4401329295
109	0.4398192469
110	0.4395546451
111	0.4392147486
112	0.4389223242
113	0.4386407455
114	0.4384470099
115	0.4381125147
116	0.4379074498
117	0.4375196506
118	0.4370887725
119	0.4368138101
120	0.4363907412
121	0.4361180088
122	0.4358286758
123	0.435356174
124	0.4349525316
125	0.4346189285
126	0.4343430585
127	0.4340415865
128	0.4337994814
129	0.4333951623
130	0.4330370775
131	0.432753728
132	0.432438446
133	0.4319375011
134	0.4317486801
135	0.431458913
136	0.4312231622
137	0.4309243097
138	0.4307145574
139	0.4306171834
140	0.4302594598
141	0.4300395065
142	0.4297555382
143	0.429403714
144	0.4290668294
