iter	Passed	Remaining
0	4	2032
1	7	1859
2	10	1787
3	14	1757
4	17	1733
5	20	1722
6	24	1729
7	27	1716
8	31	1721
9	34	1714
10	38	1713
11	41	1707
12	45	1702
13	49	1702
14	52	1702
15	56	1699
16	59	1702
17	63	1700
18	67	1697
19	70	1696
20	74	1696
21	77	1693
22	81	1688
23	84	1682
24	88	1678
25	91	1673
26	95	1674
27	99	1672
28	102	1668
29	106	1663
30	109	1659
31	113	1654
32	116	1652
33	120	1648
34	123	1644
35	127	1643
36	131	1641
37	134	1637
38	138	1632
39	141	1628
40	145	1624
41	148	1621
42	152	1617
43	155	1613
44	159	1609
45	162	1606
46	166	1609
47	171	1616
48	175	1616
49	179	1617
50	183	1614
51	186	1609
52	190	1605
53	193	1601
54	197	1600
55	201	1595
56	204	1590
57	208	1588
58	212	1587
59	216	1584
60	219	1581
61	223	1578
62	227	1576
63	230	1573
64	234	1568
65	238	1565
66	241	1563
67	245	1559
68	249	1555
69	252	1550
70	256	1546
71	260	1545
72	264	1545
73	267	1541
74	271	1537
75	275	1534
76	278	1531
77	282	1527
78	285	1523
79	289	1521
80	293	1517
81	297	1514
82	300	1511
83	304	1507
84	307	1502
85	311	1499
86	314	1494
87	318	1491
88	321	1486
89	325	1482
90	328	1478
91	332	1474
92	336	1470
93	340	1468
94	343	1464
95	347	1460
96	350	1456
97	354	1452
98	357	1448
99	361	1445
100	364	1440
101	368	1437
102	371	1433
103	375	1430
104	379	1426
105	382	1422
106	386	1418
107	389	1414
108	393	1410
109	396	1406
110	400	1402
111	403	1399
112	407	1395
113	410	1391
114	414	1386
115	417	1383
116	421	1379
117	424	1375
118	428	1371
119	431	1367
120	435	1364
121	439	1360
122	442	1356
123	446	1354
124	450	1350
125	454	1348
126	457	1345
127	461	1341
128	465	1338
129	468	1334
130	472	1330
131	476	1327
132	479	1323
133	483	1319
134	486	1315
135	490	1312
136	493	1308
137	497	1304
138	500	1300
139	504	1296
140	507	1292
141	511	1289
142	514	1285
143	518	1281
144	521	1277
145	525	1273
146	528	1270
147	532	1266
148	536	1263
149	539	1259
150	543	1256
151	547	1252
152	550	1248
153	554	1245
154	557	1241
155	561	1237
156	564	1233
157	568	1230
158	572	1226
159	575	1223
160	579	1219
161	582	1215
162	586	1212
163	589	1208
164	593	1204
165	596	1200
166	600	1196
167	604	1193
168	607	1190
169	611	1186
170	614	1182
171	618	1179
172	622	1175
173	625	1172
174	629	1168
175	632	1164
176	637	1163
177	641	1160
178	645	1156
179	649	1153
180	652	1150
181	656	1146
182	659	1143
183	663	1140
184	668	1137
185	672	1134
186	676	1131
187	679	1127
188	683	1124
189	686	1120
190	690	1116
191	693	1113
192	697	1109
193	701	1106
194	704	1102
195	708	1098
196	711	1095
197	715	1091
198	719	1087
199	722	1083
200	726	1080
201	729	1076
202	733	1072
203	736	1068
204	740	1065
205	743	1061
206	747	1057
207	750	1053
208	754	1050
209	757	1046
210	762	1045
211	768	1043
212	771	1040
213	775	1036
214	779	1032
215	783	1029
216	786	1026
217	791	1023
218	794	1019
219	798	1016
220	802	1013
221	806	1010
222	810	1006
223	814	1004
224	819	1001
225	823	998
226	826	994
227	830	991
228	834	987
229	838	984
230	842	981
231	846	977
232	849	973
233	853	970
234	857	966
235	860	963
236	865	960
237	869	956
238	873	953
239	876	949
240	880	946
241	883	942
242	887	938
243	891	934
244	894	931
245	898	927
246	901	923
247	905	919
248	908	916
249	912	912
250	916	908
251	919	904
252	922	900
253	926	897
254	929	893
255	933	889
256	937	885
257	940	882
258	944	878
259	947	874
260	951	871
261	954	867
262	958	863
263	962	860
264	965	856
265	969	852
266	972	848
267	976	845
268	979	841
269	983	837
270	986	833
271	990	829
272	993	826
273	997	822
274	1000	818
275	1003	814
276	1007	810
277	1011	807
278	1015	804
279	1019	800
280	1022	797
281	1026	793
282	1029	789
283	1033	785
284	1036	782
285	1040	778
286	1044	775
287	1048	771
288	1051	767
289	1055	764
290	1058	760
291	1062	756
292	1065	752
293	1069	749
294	1072	745
295	1076	741
296	1079	737
297	1083	734
298	1086	730
299	1090	727
300	1094	723
301	1098	719
302	1101	716
303	1104	712
304	1108	708
305	1112	705
306	1115	701
307	1119	697
308	1123	694
309	1127	690
310	1130	687
311	1134	683
312	1137	679
313	1141	676
314	1144	672
315	1148	668
316	1151	665
317	1155	661
318	1159	657
319	1162	653
320	1165	650
321	1169	646
322	1173	643
323	1177	639
324	1180	635
325	1184	632
326	1188	628
327	1192	625
328	1196	621
329	1200	618
330	1204	615
331	1208	611
332	1213	608
333	1217	605
334	1221	601
335	1225	598
336	1230	595
337	1234	591
338	1237	587
339	1241	584
340	1245	580
341	1249	577
342	1255	574
343	1259	571
344	1263	567
345	1267	564
346	1271	560
347	1275	557
348	1279	553
349	1282	549
350	1286	546
351	1290	542
352	1294	538
353	1298	535
354	1302	532
355	1306	528
356	1310	524
357	1313	521
358	1317	517
359	1321	513
360	1325	510
361	1329	506
362	1333	503
363	1337	499
364	1341	496
365	1345	492
366	1349	488
367	1354	486
368	1358	482
369	1362	478
370	1366	475
371	1370	471
372	1374	467
373	1377	464
374	1381	460
375	1385	456
376	1389	453
377	1393	449
378	1396	445
379	1400	442
380	1404	438
381	1407	434
382	1411	431
383	1414	427
384	1419	423
385	1422	420
386	1426	416
387	1430	412
388	1433	409
389	1437	405
390	1441	401
391	1445	398
392	1448	394
393	1452	390
394	1456	387
395	1463	384
396	1467	380
397	1471	377
398	1474	373
399	1477	369
400	1481	365
401	1485	362
402	1489	358
403	1493	354
404	1499	351
405	1503	348
406	1506	344
407	1510	340
408	1591	354
409	1608	353
410	1612	349
411	1619	345
412	1623	342
413	1629	338
414	1634	334
415	1639	330
416	1644	327
417	1650	323
418	1655	320
419	1659	316
420	1662	312
421	1666	308
422	1670	304
423	1674	300
424	1677	296
425	1682	292
426	1687	288
427	1691	284
428	1696	280
429	1701	276
430	1705	273
431	1710	269
432	1716	265
433	1721	261
434	1726	257
435	1729	253
436	1733	249
437	1737	245
438	1740	241
439	1744	237
440	1747	233
441	1751	229
442	1755	225
443	1759	221
444	1762	217
445	1766	213
446	1772	210
447	1777	206
448	1781	202
449	1785	198
450	1789	194
451	1792	190
452	1797	186
453	1801	182
454	1805	178
455	1808	174
456	1813	170
457	1817	166
458	1820	162
459	1824	158
460	1828	154
461	1832	150
462	1836	146
463	1839	142
464	1843	138
465	1846	134
466	1850	130
467	1853	126
468	1857	122
469	1861	118
470	1865	114
471	1868	110
472	1872	106
473	1875	102
474	1878	98
475	1882	94
476	1885	90
477	1889	86
478	1892	82
479	1896	79
480	1900	75
481	1904	71
482	1907	67
483	1911	63
484	1914	59
485	1917	55
486	1921	51
487	1926	47
488	1931	43
489	1935	39
490	1939	35
491	1943	31
492	1947	27
493	1951	23
494	1955	19
495	1958	15
496	1962	11
497	1966	7
498	1969	3
499	1973	0
