iter	Passed	Remaining
0	10	51790
1	18	47264
2	30	50761
3	42	53095
4	48	48882
5	60	50175
6	69	49916
7	74	46601
8	82	45762
9	95	47612
10	108	49000
11	122	50758
12	136	52395
13	148	52854
14	159	53052
15	165	51701
16	173	50997
17	184	50959
18	196	51490
19	202	50470
20	214	50862
21	226	51267
22	249	53937
23	260	54014
24	272	54135
25	283	54218
26	292	53912
27	303	53925
28	311	53412
29	320	53144
30	331	53166
31	342	53193
32	353	53146
33	365	53407
34	377	53493
35	388	53510
36	399	53533
37	409	53524
38	415	52896
39	426	52850
40	435	52694
41	446	52697
42	457	52744
43	469	52838
44	476	52522
45	489	52682
46	500	52795
47	512	52908
48	525	53054
49	537	53251
50	549	53350
51	557	53055
52	569	53150
53	581	53257
54	591	53152
55	602	53181
56	612	53084
57	623	53094
58	634	53168
59	646	53242
60	658	53298
61	670	53362
62	678	53153
63	689	53210
64	701	53292
65	710	53099
66	716	52761
67	727	52779
68	739	52837
69	744	52401
70	755	52457
71	767	52497
72	778	52555
73	788	52513
74	800	52573
75	812	52615
76	823	52623
77	833	52618
78	844	52621
79	854	52533
80	865	52548
81	876	52557
82	882	52259
83	893	52273
84	904	52290
85	915	52311
86	926	52320
87	937	52325
88	948	52317
89	959	52326
90	969	52320
91	978	52220
92	989	52235
93	996	51988
94	1007	51998
95	1017	51975
96	1028	51991
97	1039	51999
98	1048	51914
99	1055	51742
100	1063	51593
101	1074	51588
102	1085	51605
103	1094	51531
104	1106	51604
105	1119	51680
106	1131	51737
107	1142	51735
108	1149	51577
109	1157	51438
110	1165	51355
111	1176	51362
112	1184	51213
113	1195	51220
114	1206	51237
115	1216	51239
116	1227	51249
117	1239	51263
118	1249	51266
119	1260	51278
120	1271	51283
121	1282	51288
122	1287	51032
123	1297	51026
124	1308	51043
125	1319	51054
126	1330	51058
127	1341	51061
128	1347	50888
129	1358	50894
130	1367	50844
131	1373	50661
132	1382	50606
133	1391	50542
134	1400	50482
135	1412	50504
136	1421	50453
137	1432	50463
138	1443	50478
139	1452	50428
140	1461	50378
141	1469	50264
142	1480	50273
143	1485	50109
144	1491	49944
145	1502	49945
146	1513	49957
147	1528	50102
148	1539	50122
149	1550	50128
150	1557	50029
151	1568	50030
