iter	MAPE	RMSE
0	0.9412361042	1168059.394
1	0.8886848028	1118291.697
2	0.8379177724	1071136.29
3	0.7900661257	1026559.149
4	0.7436190919	985287.3073
5	0.7010032849	944641.134
6	0.6606592822	906993.7391
7	0.6223391029	871285.3803
8	0.5865113025	837606.5124
9	0.5520055848	805926.4797
10	0.5192958579	776278.2151
11	0.4879779064	748777.5515
12	0.4604474461	721499.049
13	0.4346822613	695624.9888
14	0.4100452895	672070.8475
15	0.3878318533	649966.7568
16	0.367608478	628747.1065
17	0.3488347746	608821.741
18	0.3317073172	589908.4519
19	0.3158821693	572905.9783
20	0.3013332203	556569.5607
21	0.2882067108	541294.4843
22	0.276820981	526621.5838
23	0.264998132	512999.6709
24	0.2560213098	499985.0771
25	0.2475192516	487669.0175
26	0.2400991919	476498.76
27	0.2337576892	465969.3541
28	0.2284896053	456452.165
29	0.223719354	447340.7388
30	0.2191301194	438579.5352
31	0.2153801878	430641.2158
32	0.2118375816	423345.3544
33	0.2090562837	416222.659
34	0.2062039485	409637.1376
35	0.2040987271	403573.7966
36	0.202129595	397516.2552
37	0.2000631943	391918.9156
38	0.1983414848	386660.3976
39	0.196206363	382010.1866
40	0.1956490901	377758.0842
41	0.1950184098	373596.8456
42	0.1935950404	369686.4963
43	0.1930248904	365981.9177
44	0.1926145084	362623.969
45	0.1920209864	359184.516
46	0.1919643657	356402.6626
47	0.1921232681	353819.1276
48	0.1914806521	351058.0942
49	0.19158524	348536.4743
50	0.1911668747	346325.0325
51	0.1908477692	343867.7459
52	0.1908421912	341703.5916
53	0.1907254993	339644.9285
54	0.1906169665	337559.2966
55	0.1899581019	335692.4451
56	0.1896612362	333964.3662
57	0.1897668085	332293.9558
58	0.1896470069	330722.546
59	0.1893146183	329141.1356
60	0.1888690476	327716.4372
61	0.1888266188	326209.79
62	0.1888407218	324943.5468
63	0.1885442979	323868.4063
64	0.188663983	322732.8472
65	0.1882943443	321466.7296
66	0.1881527301	320383.9339
67	0.188250027	319454.9943
68	0.1880918922	318497.6244
69	0.1880843011	317477.6885
70	0.1879649631	316419.4827
71	0.1881080919	315569.8137
72	0.1877470793	314811.6744
73	0.1878497394	314084.6519
74	0.1877813406	313029.197
75	0.1875987497	312138.7151
76	0.1875237785	311372.4156
77	0.1874340873	310649.6642
78	0.1873571126	309962.6089
79	0.1869233324	309297.5414
80	0.1869142042	308457.2043
81	0.1866841471	307807.0802
82	0.1863770075	307348.8918
83	0.1864933872	306776.0041
84	0.186539344	306132.2761
85	0.1863481547	305445.8229
86	0.1858502063	304796.7711
87	0.1857086165	304372.4969
88	0.1852424936	303914.6103
89	0.1848156422	303247.7955
90	0.1846454564	302705.9046
91	0.1845885006	302187.0256
92	0.1845013279	301777.9571
93	0.1840746838	301246.3695
94	0.1838796691	300657.2837
95	0.1838650079	300182.4677
96	0.1837560144	299788.4342
97	0.1835993054	299182.3832
98	0.1835167056	298850.6504
99	0.183376407	298411.4991
100	0.1830969622	298026.1798
101	0.1831339543	297875.1951
102	0.1827605641	297484.506
103	0.1823890285	297091.5628
104	0.1819400025	296481.1148
105	0.1819105314	296030.4676
106	0.1817821379	295496.974
107	0.1817585651	295184.16
108	0.1816889083	294751.8982
109	0.181253065	294139.4429
110	0.1810371967	293792.2875
111	0.1808006029	293530.4741
112	0.1806235923	293232.042
113	0.1804330973	292942.045
114	0.1799722401	292311.7909
115	0.1796501812	292078.6415
116	0.1792345794	291656.6566
117	0.1790288773	290950.952
118	0.1788819927	290577.7676
119	0.1787351334	290242.9596
120	0.1786737706	289943.5116
121	0.1783889471	289411.2563
122	0.1781561402	289006.9873
123	0.1779380443	288881.0403
124	0.1776867783	288383.5649
125	0.1775906265	288101.3502
126	0.1773657047	287815.2416
127	0.17698125	287456.4488
128	0.1769310214	287233.3973
129	0.1767818613	286905.0647
130	0.1765828588	286662.1016
131	0.1765159644	286480.192
132	0.1761063312	285888.0966
133	0.1758370801	285468.823
134	0.1756131615	285189.4047
135	0.1753699389	284822.1628
136	0.1752594585	284387.5397
137	0.1750804216	284139.7773
138	0.1747251592	283751.7457
139	0.1746846788	283507.561
140	0.174500827	283217.5648
141	0.1743532063	282989.0566
142	0.1742032442	282616.6801
143	0.1740732586	282094.432
144	0.1738655299	281691.0008
145	0.1737331906	281422.8054
146	0.1736678946	281239.0336
147	0.1733756762	280732.9751
148	0.1731896208	280484.9548
149	0.173061528	280232.6685
150	0.1730179682	280101.6716
151	0.1728293519	279710.5182
152	0.1727298817	279481.0261
153	0.1724645682	279364.2539
154	0.1722201708	279074.393
155	0.1720035127	278711.8308
156	0.1718935525	278323.6196
157	0.1717716897	278136.4137
158	0.1717041527	277947.8048
159	0.1714610672	277603.9393
160	0.1710905484	277325.2042
161	0.1708972195	277082.4451
162	0.1707308859	276811.8191
163	0.170559562	276339.7238
164	0.1704630915	276070.6974
165	0.1703118559	275868.9645
166	0.1702522349	275787.0622
167	0.1700459778	275505.5185
168	0.1699391611	275260.8951
169	0.1697767409	275010.8586
170	0.1697097047	274741.1483
171	0.1696410938	274470.594
172	0.1695238775	273940.0192
173	0.1692801743	273750.2904
174	0.1690554111	273418.7672
175	0.1688590298	273044.4828
176	0.168786868	272861.5945
177	0.1686633157	272673.8669
178	0.1685972039	272458.1143
179	0.1685310419	272230.459
180	0.1683509166	272059.78
181	0.1681111195	271797.7814
182	0.1680449233	271594.8217
183	0.1678062956	271340.7016
184	0.1676840992	271050.6686
185	0.1676281975	270811.4027
186	0.1675940145	270709.5966
187	0.1674439502	270453.3337
188	0.1674139753	270346.5714
189	0.1673643495	270153.4213
190	0.1673065517	269973.8344
191	0.1671198086	269752.8307
192	0.1669304082	269258.837
193	0.1668148418	269068.7106
194	0.166685901	268740.7756
195	0.1665571767	268487.6256
196	0.1664997156	268311.7807
197	0.166388326	268035.701
198	0.1662671087	267893.2553
199	0.1661035435	267520.1587
200	0.1659895371	267310.1943
201	0.1657319109	267071.5598
202	0.1655645489	266812.5377
203	0.1654732756	266610.2114
204	0.1652246883	266469.8784
205	0.1651090645	266237.4548
206	0.1650943414	266147.3893
207	0.1648479061	265939.578
208	0.1647937469	265825.691
209	0.1646218195	265711.7638
210	0.1645560299	265571.7394
211	0.164330651	265338.159
212	0.1642171784	265229.762
213	0.16411532	264836.3438
214	0.1639308363	264675.343
215	0.1638827687	264545.305
216	0.1637236027	264363.426
217	0.1636249124	264256.8955
218	0.1633986759	263971.3409
219	0.1631673159	263739.2101
220	0.1631534153	263661.251
221	0.1631077014	263541.1361
222	0.1630448068	263345.6449
223	0.1629952024	263142.6258
224	0.1629687192	263039.6871
225	0.1629419842	262965.0196
226	0.1628899954	262887.405
227	0.162847068	262735.4448
228	0.1627191929	262439.7987
229	0.1626512334	262291.4036
230	0.1625429718	262097.79
231	0.1624092127	261932.2346
232	0.1622907837	261696.1037
233	0.1622089239	261543.5867
234	0.1621091733	261352.584
235	0.1620605834	261284.9823
236	0.1619792682	261081.0355
237	0.1617958413	260919.7816
238	0.1616934331	260622.7675
239	0.1616580874	260537.8905
240	0.1615627414	260373.8258
241	0.1614790169	260202.6879
242	0.1613947585	260056.4945
243	0.1613168256	259942.5152
244	0.1611951498	259700.9532
245	0.1611707458	259609.3495
246	0.1611059901	259427.2007
247	0.1610054663	259248.8903
248	0.1608813455	259053.6029
249	0.1607811718	258917.1993
250	0.1606879756	258490.132
251	0.1605478776	258281.0162
252	0.1604906059	258148.0048
253	0.1604160022	257959.3215
254	0.1604193434	257934.6739
255	0.1603083568	257734.556
256	0.1601997087	257511.5495
257	0.1601172591	257311.652
258	0.1600494682	257125.7847
259	0.1598290649	256986.527
260	0.1598262771	256939.9438
261	0.1596836426	256760.694
262	0.1595834127	256517.0102
263	0.1595147998	256390.9497
264	0.1594474282	256245.2466
265	0.1593761158	256144.7473
266	0.1592723075	255978.9998
267	0.1592363145	255893.2838
268	0.1591476584	255848.3024
269	0.1591277678	255773.2156
270	0.159074126	255690.0816
271	0.1590511036	255599.1673
272	0.1589424353	255465.9958
273	0.1588622547	255308.9587
274	0.1588108094	255190.9102
275	0.1587837785	255062.8809
276	0.1586008297	254831.4606
277	0.1585359421	254494.4183
278	0.1584464656	254343.7797
279	0.158379484	254248.23
280	0.1582386996	254099.154
281	0.1580770305	253917.3092
282	0.1580056874	253781.6349
283	0.1578588131	253518.785
284	0.1577598182	253364.4485
285	0.1577652876	253324.6521
286	0.1577233837	253216.7244
287	0.1574133162	252971.8545
288	0.1572914736	252806.4866
289	0.1572483329	252673.8421
290	0.1570755002	252458.6096
291	0.157025801	252370.3816
292	0.1569832855	252278.2445
293	0.1569636227	252193.8245
294	0.1569424296	252145.0338
295	0.1568539819	251990.6343
296	0.1567315889	251764.398
297	0.1567138545	251685.6784
298	0.1564691926	251446.2166
299	0.1564374051	251370.9119
300	0.1563484343	251199.877
301	0.1562966389	251104.3091
302	0.1561865013	251009.9675
303	0.1561385038	250873.7498
304	0.1561361579	250856.5755
305	0.1561349456	250840.3551
306	0.1560561646	250707.195
307	0.1559309997	250608.2515
308	0.1557788394	250541.5001
309	0.1557796084	250527.6595
310	0.1557180926	250423.7902
311	0.155666386	250130.399
312	0.1555887856	249938.4822
313	0.1555643775	249895.739
314	0.1555292043	249802.7238
315	0.155494029	249552.73
316	0.1554753005	249474.7614
317	0.1554032659	249354.9133
318	0.1552814962	249205.8832
319	0.1552133351	249067.2827
320	0.1551620418	248973.9441
321	0.1551390239	248877.9718
322	0.1551105979	248813.6014
323	0.15506117	248647.8913
324	0.15501957	248553.547
325	0.1549813724	248413.1115
326	0.1548986916	248287.1733
327	0.1548928414	248271.2234
328	0.1548046182	248071.8363
329	0.1547203984	247971.5735
330	0.1544816717	247753.5839
331	0.1544378731	247625.27
332	0.1542199483	247487.4285
333	0.1542112912	247454.285
334	0.1541358159	247336.5765
335	0.1540377672	247184.5547
336	0.1539603066	247040.4682
337	0.1538964009	246950.0785
338	0.1537980802	246769.7195
339	0.1537274016	246635.4127
340	0.1537243613	246617.032
341	0.1536757115	246536.9605
342	0.1536848005	246513.4246
343	0.153586568	246223.2165
344	0.1534762809	246128.0142
345	0.1534184369	246033.942
346	0.1533163091	245860.4546
347	0.1531014292	245647.3414
348	0.1530691955	245512.7658
349	0.1530261168	245439.6365
350	0.1530072104	245232.2533
351	0.153005754	245133.891
352	0.1529884555	245091.5769
353	0.1528454552	244932.0553
354	0.1528017991	244789.5464
355	0.1527915159	244744.6156
356	0.1527681069	244684.5615
357	0.1527458861	244543.4967
358	0.1527309854	244447.8467
359	0.152603686	244240.0551
360	0.1525779491	244168.4708
361	0.1525424814	244071.2786
362	0.1525217215	243988.8097
363	0.152502947	243917.2295
364	0.1524173091	243790.5656
365	0.1523421573	243704.0257
366	0.1522693649	243539.5901
367	0.1522033362	243433.7883
368	0.1520832937	243291.5782
369	0.1520150366	243168.5863
370	0.1520089031	243143.299
371	0.1519365635	243067.3991
372	0.1519114614	242998.2541
373	0.1518530484	242919.3566
374	0.1518521964	242887.4348
375	0.1518066435	242779.1072
376	0.151718903	242596.5546
377	0.1516823011	242438.3098
378	0.151644359	242378.7619
379	0.1516462158	242362.6721
380	0.1515998449	242267.904
381	0.1515367919	242142.5661
382	0.1513965556	242001.29
383	0.151275922	241826.2323
384	0.1511742398	241720.4152
385	0.1510839172	241562.5739
386	0.1510303226	241473.994
387	0.1509383108	241313.955
388	0.150821156	241210.1821
389	0.1507665244	241137.5811
390	0.150764006	241110.0999
391	0.1507021295	241037.3781
392	0.15069972	241021.7445
393	0.1506314697	240899.435
394	0.1505151619	240775.4394
395	0.1504766468	240689.7849
396	0.1504574315	240580.9457
397	0.1504281536	240517.0166
398	0.1503692314	240452.3218
399	0.1503691296	240437.3393
400	0.1503015593	240332.8621
401	0.1502702226	240235.0909
402	0.1501986117	240155.32
403	0.1501689784	240119.4342
404	0.1501626768	240077.0113
405	0.1501403957	239969.6227
406	0.1501215077	239863.2618
407	0.150097667	239807.0415
408	0.150076141	239775.4347
409	0.1500074384	239690.3202
410	0.1499828819	239644.1014
411	0.1499505396	239476.2035
412	0.1498531467	239363.8693
413	0.1498155146	239273.6602
414	0.1497936556	239233.6386
415	0.1497898703	239218.046
416	0.1497449174	239076.3399
417	0.1496803919	239009.4967
418	0.1496588494	238970.1527
419	0.1496381077	238873.5754
420	0.1495726664	238743.3547
421	0.1495421995	238662.2602
422	0.149432725	238481.8786
423	0.1493923211	238369.0649
424	0.1492793056	238287.7915
425	0.1492737976	238265.8035
426	0.1492434587	238207.8437
427	0.1491756585	238097.0716
428	0.1491626195	238072.0473
429	0.1490839868	237936.3957
430	0.1490284582	237836.5612
431	0.1490008034	237780.8706
432	0.1489587142	237694.3683
433	0.1489005005	237606.2804
434	0.1488709462	237476.2219
435	0.1487733648	237331.9095
436	0.1486860225	237236.8846
437	0.1486700668	237197.0873
438	0.1486535909	237156.0801
439	0.1486047777	237112.2382
440	0.1484541213	236947.2667
441	0.1483362571	236830.2668
442	0.1482951284	236758.0084
443	0.1482480812	236685.5015
444	0.148110387	236593.2064
445	0.1480768143	236532.9547
446	0.148015351	236353.4825
447	0.147951491	236270.7217
