iter	Passed	Remaining
0	13	68381
1	22	55504
2	43	73092
3	66	83458
4	81	81917
5	106	88669
6	132	94448
7	158	98876
8	180	100076
9	205	102410
10	228	103714
11	245	101957
12	259	99634
13	279	99421
14	299	99541
15	315	98223
16	332	97420
17	344	95472
18	362	94977
19	380	94798
20	391	92820
21	411	93092
22	430	93079
23	449	93161
24	462	92121
25	477	91269
26	493	90840
27	505	89745
28	530	90884
29	548	90789
30	557	89326
31	575	89367
32	585	88066
33	609	89073
34	635	90155
35	648	89488
36	660	88608
37	680	88848
38	700	89063
39	719	89169
40	730	88318
41	745	88022
42	759	87581
43	778	87662
44	796	87754
45	816	87945
46	835	88091
47	850	87755
48	859	86838
49	867	85893
50	882	85684
51	897	85403
52	915	85407
53	933	85526
54	947	85162
55	961	84890
56	977	84763
57	990	84432
58	997	83494
59	1014	83542
60	1032	83613
61	1049	83568
62	1064	83405
63	1080	83368
64	1099	83457
65	1111	83104
66	1125	82879
67	1145	83073
68	1161	83040
69	1176	82852
70	1194	82950
71	1207	82670
72	1225	82703
73	1243	82750
74	1258	82661
75	1271	82383
76	1281	81958
77	1302	82186
78	1320	82277
79	1339	82348
80	1351	82093
81	1370	82197
82	1389	82325
83	1407	82389
84	1425	82447
85	1442	82435
86	1460	82465
87	1481	82688
88	1492	82370
89	1503	82047
90	1513	81637
91	1526	81451
92	1538	81170
93	1544	80606
94	1555	80307
95	1565	79960
96	1576	79695
97	1587	79426
98	1598	79152
99	1609	78882
100	1621	78626
101	1631	78321
102	1642	78077
103	1653	77832
104	1664	77605
105	1674	77290
106	1685	77071
107	1693	76708
108	1699	76260
109	1711	76063
110	1720	75788
111	1728	75450
112	1736	75104
113	1742	74687
114	1754	74514
115	1766	74355
116	1778	74224
117	1791	74116
118	1800	73862
119	1812	73699
120	1824	73548
121	1836	73428
122	1849	73336
123	1854	72911
124	1863	72662
125	1875	72557
126	1886	72394
127	1892	72043
128	1901	71810
129	1912	71643
130	1923	71493
131	1934	71337
132	1945	71181
133	1956	71032
134	1963	70763
135	1969	70430
136	1978	70227
137	1984	69908
138	1995	69776
139	2002	69532
140	2009	69239
141	2020	69113
142	2031	69016
143	2043	68900
144	2054	68780
145	2061	68551
146	2072	68428
147	2083	68313
148	2095	68216
149	2101	67942
150	2112	67825
151	2120	67640
152	2133	67590
153	2146	67548
154	2154	67338
155	2161	67128
156	2167	66870
157	2178	66767
158	2186	66563
159	2197	66470
160	2201	66173
161	2208	65969
162	2220	65878
163	2231	65790
164	2242	65701
165	2253	65631
166	2265	65555
167	2276	65478
168	2285	65340
169	2298	65305
170	2310	65241
171	2317	65062
172	2329	64984
173	2340	64913
174	2351	64835
175	2362	64756
176	2373	64677
177	2384	64598
178	2395	64524
179	2406	64441
180	2417	64362
181	2428	64294
182	2437	64173
183	2448	64090
184	2457	63964
185	2468	63888
186	2479	63812
187	2490	63750
188	2501	63678
189	2512	63612
190	2518	63416
191	2530	63361
192	2541	63301
193	2553	63248
194	2564	63188
195	2575	63122
196	2586	63066
197	2591	62846
198	2603	62800
199	2614	62757
200	2621	62580
201	2632	62518
202	2638	62346
203	2649	62287
204	2660	62235
205	2668	62097
206	2677	61995
207	2688	61941
208	2699	61885
209	2709	61793
210	2720	61735
211	2729	61640
212	2740	61582
213	2751	61527
214	2762	61471
215	2773	61422
216	2784	61377
217	2795	61331
218	2805	61236
219	2816	61188
220	2827	61145
221	2838	61095
222	2849	61045
223	2860	60991
224	2871	60946
225	2876	60757
226	2887	60706
227	2893	60554
228	2903	60501
229	2910	60351
230	2915	60195
231	2926	60149
232	2937	60107
233	2948	60061
234	2953	59883
235	2960	59765
236	2970	59692
237	2981	59649
238	2991	59586
239	3000	59518
240	3012	59479
241	3023	59441
242	3034	59397
243	3045	59355
244	3056	59318
245	3062	59179
246	3073	59135
247	3080	59033
248	3093	59030
249	3108	59060
250	3122	59074
251	3129	58964
252	3140	58920
253	3152	58900
254	3163	58870
255	3174	58832
256	3185	58792
257	3196	58752
258	3205	58683
259	3218	58674
260	3232	58694
261	3244	58672
262	3255	58644
263	3267	58615
264	3273	58492
265	3285	58468
266	3297	58460
267	3309	58428
268	3319	58375
269	3330	58341
270	3334	58193
271	3340	58066
272	3351	58039
273	3363	58007
274	3370	57903
275	3381	57872
276	3392	57846
277	3404	57823
278	3415	57789
279	3419	57649
280	3431	57623
281	3442	57589
282	3453	57560
283	3464	57532
284	3475	57505
285	3485	57442
286	3496	57416
287	3507	57388
288	3518	57360
289	3528	57308
290	3541	57305
291	3552	57284
292	3563	57253
293	3575	57226
294	3586	57201
295	3597	57176
296	3609	57150
297	3620	57127
298	3632	57108
299	3643	57084
300	3655	57061
301	3666	57035
302	3671	56912
303	3677	56806
304	3688	56775
305	3699	56754
306	3711	56730
307	3722	56707
308	3734	56687
309	3743	56641
310	3755	56624
311	3766	56596
312	3778	56581
313	3784	56477
314	3797	56472
315	3808	56448
316	3820	56436
317	3826	56338
318	3837	56311
319	3855	56384
320	3868	56393
321	3881	56392
322	3889	56316
323	3901	56301
324	3905	56182
325	3918	56175
326	3930	56170
327	3944	56192
328	3957	56184
329	3969	56168
330	3980	56149
331	3991	56125
332	3996	56007
333	4007	55986
334	4018	55963
335	4029	55939
336	4041	55918
337	4052	55901
338	4064	55878
339	4074	55849
340	4086	55826
341	4095	55786
342	4104	55732
343	4116	55722
344	4130	55726
345	4141	55710
346	4146	55595
347	4156	55566
348	4160	55452
349	4171	55423
350	4177	55332
351	4188	55305
352	4197	55263
353	4200	55131
354	4209	55084
355	4221	55064
356	4226	54973
357	4238	54952
358	4249	54935
359	4255	54849
360	4263	54783
361	4273	54757
362	4283	54719
363	4294	54693
364	4300	54608
365	4311	54592
366	4323	54575
367	4334	54561
368	4339	54456
369	4345	54373
370	4355	54348
371	4361	54266
372	4367	54180
373	4378	54156
374	4389	54134
375	4400	54111
376	4411	54091
377	4422	54078
378	4434	54063
379	4445	54047
380	4451	53966
381	4457	53886
382	4461	53786
383	4469	53726
384	4480	53706
385	4491	53691
386	4496	53593
387	4507	53574
388	4518	53554
389	4522	53456
390	4533	53437
391	4544	53421
392	4554	53388
393	4565	53372
394	4574	53336
395	4586	53318
396	4595	53282
397	4602	53222
398	4614	53206
399	4621	53149
400	4634	53154
401	4647	53152
402	4661	53173
403	4670	53128
404	4684	53152
405	4698	53159
406	4710	53162
407	4723	53164
408	4737	53174
409	4752	53209
410	4768	53238
411	4781	53241
412	4792	53231
413	4804	53217
414	4815	53204
415	4826	53186
416	4838	53177
417	4852	53189
418	4865	53195
419	4877	53186
420	4888	53171
421	4899	53154
422	4907	53099
423	4918	53084
424	4928	53052
425	4938	53020
426	4944	52951
427	4955	52937
428	4960	52851
429	4973	52859
430	4985	52847
431	4997	52839
432	5003	52771
433	5007	52683
434	5018	52664
435	5030	52658
436	5042	52647
437	5053	52637
438	5065	52629
439	5072	52567
440	5081	52534
441	5089	52485
442	5102	52485
443	5115	52492
444	5127	52489
445	5139	52475
446	5145	52408
447	5149	52326
448	5161	52311
449	5168	52262
450	5176	52213
451	5188	52211
452	5200	52199
453	5211	52188
454	5223	52177
455	5234	52166
456	5246	52152
457	5257	52140
458	5268	52127
459	5280	52115
460	5291	52101
461	5303	52089
462	5314	52076
463	5326	52066
464	5337	52055
465	5348	52039
466	5360	52030
467	5371	52013
468	5382	52002
469	5393	51987
470	5405	51976
471	5416	51962
472	5427	51946
473	5438	51932
474	5450	51920
475	5461	51905
476	5472	51890
477	5507	52100
478	5518	52085
479	5530	52082
480	5543	52085
481	5555	52074
482	5567	52065
483	5578	52052
484	5589	52037
485	5604	52053
486	5617	52052
487	5628	52041
488	5639	52027
489	5642	51936
490	5653	51920
491	5663	51893
492	5674	51878
493	5685	51862
494	5696	51846
495	5708	51834
496	5720	51829
497	5732	51823
498	5740	51779
499	5751	51762
500	5763	51752
501	5774	51743
502	5784	51713
503	5795	51697
504	5806	51683
505	5818	51672
506	5829	51656
507	5836	51613
508	5847	51597
509	5858	51581
510	5870	51567
511	5881	51556
512	5892	51541
513	5903	51527
514	5915	51514
515	5926	51501
516	5934	51456
517	5938	51382
518	5949	51364
519	5959	51346
520	5966	51290
521	5975	51262
522	5981	51204
523	5992	51189
524	6004	51177
525	6023	51234
526	6070	51527
527	6080	51502
528	6095	51518
529	6107	51509
530	6120	51512
531	6133	51508
532	6144	51493
533	6156	51490
534	6166	51463
535	6179	51461
536	6190	51451
537	6196	51391
538	6208	51381
539	6219	51372
540	6231	51363
541	6244	51361
542	6255	51347
543	6268	51347
544	6282	51356
545	6296	51364
546	6308	51356
547	6320	51347
548	6331	51333
549	6349	51374
550	6356	51324
551	6370	51329
552	6383	51335
553	6396	51332
554	6409	51331
555	6422	51333
556	6438	51360
