iter	MAPE	RMSE
0	0.9413349536	1176913.448
1	0.888735045	1126806.449
2	0.8397298951	1078479.273
3	0.7920048244	1033304.295
4	0.7462256449	991226.4143
5	0.7029957182	951700.7031
6	0.6629257893	913107.7798
7	0.6245512766	876978.845
8	0.5873388668	843948.2494
9	0.5529121546	812640.0906
10	0.520725762	782226.0365
11	0.4906909682	753597.7282
12	0.4622391111	726842.0848
13	0.4364457386	701046.7516
14	0.4122372451	676751.9129
15	0.3896341992	653914.9145
16	0.3688509395	632671.178
17	0.3497993138	612557.2982
18	0.3325410071	593255.5458
19	0.3164693136	575203.7376
20	0.3016050507	559094.5424
21	0.2884108837	543803.9427
22	0.2762087303	529002.8803
23	0.2654519644	516044.8555
24	0.2560238981	503085.9953
25	0.2477176685	491819.0418
26	0.2399634338	480294.5953
27	0.2333981056	470389.5605
28	0.2279685417	460760.2053
29	0.2225553493	451658.535
30	0.2179645178	442768.1649
31	0.2141305605	434474.2847
32	0.210793045	427323.8401
33	0.2070573565	420213.9486
34	0.2046796205	413705.4609
35	0.2024088642	407058.6552
36	0.1995459184	401179.5138
37	0.1980935648	395867.9791
38	0.1967530887	390806.2044
39	0.1956149884	386201.7681
40	0.1948715711	382091.8681
41	0.1940215397	377930.3206
42	0.1934513923	373898.1863
43	0.1926872969	370081.2441
44	0.1926664525	366904.3457
45	0.1914686193	363475.1716
46	0.1909505451	360071.5374
47	0.1908419159	357270.0686
48	0.1908953016	354749.0856
49	0.1908894164	352203.1037
50	0.1908796058	349780.2374
51	0.1902463325	347420.2273
52	0.1901032463	345291.3319
53	0.190303551	343518.1736
54	0.1904761024	341571.8721
55	0.1897627626	339676.7747
56	0.1898089594	337950.5357
57	0.1897794118	335873.4053
58	0.189991045	334301.1763
59	0.190394349	332945.4762
60	0.1904356926	331458.0443
61	0.1899445322	330283.6836
62	0.1895129058	329046.4614
63	0.1891336612	327522.8789
64	0.1888121573	326201.2173
65	0.1888376197	325179.1301
66	0.1888810779	324170.294
67	0.18874421	323448.395
68	0.1884851515	322612.4601
69	0.1883201429	321707.3822
70	0.188175052	320549.319
71	0.1882595629	319871.6061
72	0.1880687857	318987.2132
73	0.188025249	318038.2536
74	0.1880270518	317078.0516
75	0.1881890187	316292.4455
76	0.1880831795	315454.569
77	0.1877330982	314624.9856
78	0.1873874654	313786.4658
79	0.1873687844	312850.6856
80	0.1873008246	312334.5614
81	0.1872808215	311729.6305
82	0.1872050407	311154.9236
83	0.1871261667	310314.1916
84	0.1869821036	309747.2371
85	0.186776698	309138.0092
86	0.1863176269	308415.008
87	0.1862663813	307996.5097
88	0.1859285658	307596.4107
89	0.1856226756	307093.64
90	0.185672212	306737.1231
91	0.1853066475	306268.7386
92	0.1851156248	305869.2465
93	0.1851232502	305410.2291
94	0.1850584536	304752.5368
95	0.1850142528	304410.4775
96	0.1847931996	303836.3416
97	0.1847683756	303492.7694
98	0.184369928	303064.0632
99	0.1841285123	302607.1072
100	0.1839819305	301874.6567
101	0.1838226585	301415.0917
102	0.1837069955	300988.4213
103	0.1835258536	300252.0291
104	0.1832167004	299893.0434
105	0.1828578631	299455.8516
106	0.1826813733	299164.2975
107	0.182640709	298834.2493
108	0.1822362611	298454.5384
109	0.1821252273	298053.2517
110	0.181844675	297564.1515
111	0.181580681	297073.2332
112	0.1814528423	296511.0808
113	0.1813309307	296141.9258
114	0.1810823723	295837.0649
115	0.1807247022	295351.1451
116	0.1806120557	295148.0382
117	0.1803458812	294995.8925
118	0.1799821261	294536.3583
119	0.1796162744	294252.3987
120	0.1795564899	293919.6713
121	0.179255853	293542.1433
122	0.1790018298	293177.0644
123	0.1788603122	292641.0801
124	0.1787036012	292394.117
125	0.1783659757	291964.0416
126	0.1783480111	291833.7644
127	0.1782325161	291520.8113
128	0.1780625562	291265.3951
129	0.1777479259	290889.5126
130	0.1775174029	290625.7848
131	0.1774229499	290395.4039
132	0.1773890188	290100.8485
133	0.1772499473	289839.3089
134	0.1771383655	289529.5615
135	0.1768565477	289227.4214
136	0.1766241035	288929.8184
