iter	MAPE	RMSE
0	0.9411948394	1174495.217
1	0.8887501325	1124562.893
2	0.8387920483	1076994.787
3	0.7911908356	1032257.393
4	0.746713489	989161.0855
5	0.7040186617	949085.6935
6	0.6627644202	912128.7296
7	0.624672163	875477.3786
8	0.587022722	843461.6925
9	0.5503615005	813062.3707
10	0.5183753256	782607.9471
11	0.4881645183	754272.3418
12	0.4603042623	727515.9874
13	0.4348302141	702019.8482
14	0.4109574088	678111.004
15	0.3885641314	655719.8969
16	0.3676109266	634531.7009
17	0.3490220082	614359.708
18	0.3319608378	595180.7342
19	0.3159708768	578112.6953
20	0.3009466841	561179.5675
21	0.2878573493	546108.0739
22	0.2759971644	531773.4393
23	0.2659904397	518783.4156
24	0.2568924224	505583.5026
25	0.248654665	493231.2267
26	0.2416023897	481858.1305
27	0.2348523162	470674.1977
28	0.2291765215	461188.122
29	0.224223307	451876.5467
30	0.2194835213	442757.063
31	0.2153900713	434467.5977
32	0.211951617	427198.2137
33	0.2089514794	420379.8689
34	0.2061507136	413530.2102
35	0.2041391535	407484.483
36	0.2015192746	401370.8538
37	0.1996112023	396010.4515
38	0.1970008626	390764.003
39	0.1960285464	386020.9865
40	0.1950815389	381693.8899
41	0.1944135101	377569.1329
42	0.193746907	373917.1649
43	0.1931383312	370225.4264
44	0.1928112425	367029.5567
45	0.1914640365	363597.9541
46	0.1913995679	361037.8562
47	0.1909437686	358038.21
48	0.1907441229	355389.1157
49	0.1901247382	353231.9808
50	0.1899516083	351020.0745
51	0.1899399661	348935.3844
52	0.1893315572	346326.6892
53	0.1893153922	344241.4671
54	0.1895646106	342603.0201
55	0.1890303862	340590.444
56	0.1891182428	338780.2972
57	0.1893681687	337194.4533
58	0.1894543678	335867.4879
59	0.1893618996	334561.105
60	0.1896221714	333316.0072
61	0.1892322634	332330.4067
62	0.1891343059	330748.9398
63	0.1889285232	329241.2447
64	0.1884312989	328103.5227
65	0.1883360498	326742.5262
66	0.1878140452	325545.2769
67	0.1878425617	324327.1106
68	0.1879208856	323321.8744
69	0.1876026293	322498.5224
70	0.1874670604	321712.5135
71	0.1875248198	320718.6369
72	0.1870951463	319963.1921
73	0.1870053129	319043.5875
74	0.1866038814	318172.9711
75	0.1867316796	317616.0555
76	0.1867990587	316900.2641
77	0.1865968175	316060.7929
78	0.1864951089	315406.4044
79	0.1860606391	314814.894
80	0.1861003774	314094.8644
81	0.1860983071	313520.1479
82	0.1857602767	313114.6201
83	0.1853437602	312465.331
84	0.1849956683	311885.0331
85	0.1848830229	311349.3005
86	0.184811345	310890.7437
87	0.184730478	310020.3241
88	0.1846660387	309265.6896
89	0.184406574	308886.6057
90	0.1844155763	308484.6451
91	0.1841391288	307825.7437
92	0.1840463171	307172.7699
93	0.1837313584	306686.51
94	0.1833556467	306151.5656
95	0.1833827714	305744.4137
96	0.1829817062	305366.1843
97	0.1828128544	304916.1474
98	0.1823711416	304460.0354
99	0.1821771189	303965.8427
100	0.181892183	303543.5336
101	0.1816259132	303011.5137
102	0.1814594242	302263.4783
103	0.1812409534	301831.3777
104	0.1810840581	301386.1665
105	0.1810959711	300930.4232
106	0.1809576423	300276.1788
107	0.1808304763	299502.2674
108	0.1806829611	299081.4191
109	0.1806209466	298761.7294
110	0.1804539776	298414.19
111	0.1803888069	298116.1978
112	0.1803021068	297858.1612
113	0.1801933107	297453.3777
114	0.1799701633	297165.6838
115	0.1797025665	296663.8979
116	0.1795972532	296330.9787
117	0.1794994343	296009.8943
118	0.1791261451	295445.6756
119	0.1787397671	295175.8289
120	0.1785883864	294909.3988
121	0.1783845669	294480.0192
122	0.1782453283	294075.1143
123	0.1779385147	293706.6122
124	0.1778126754	293429.8492
125	0.1775918052	293108.5749
126	0.1773424841	292948.8649
127	0.1772160692	292784.9329
128	0.1771674272	292615.4958
129	0.17697944	292375.6301
130	0.1766975796	292100.7278
131	0.1766004342	291668.6523
132	0.1764872441	291468.8443
133	0.1760795579	290896.3763
134	0.1759462906	290552.0774
135	0.1757427058	290186.4388
136	0.1756673223	290028.5032
137	0.1754328268	289774.7433
138	0.1750942567	289250.6395
139	0.1748911268	288806.8994
140	0.1747670966	288520.8749
141	0.1745567507	288120.5167
142	0.1744500324	287912.1783
143	0.174305471	287634.5254
144	0.1742137271	287482.589
145	0.173953968	287218.9592
146	0.1737855123	286789.7281
147	0.1736909641	286576.6286
148	0.1734169156	286314.5457
149	0.1733890345	286072.4016
150	0.1733313133	285769.7362
151	0.1730802686	285352.2574
152	0.172988869	285156.5494
153	0.1729268367	285054.0479
154	0.1727382709	284843.1515
155	0.1725100355	284510.8501
156	0.1724062822	284192.6662
157	0.172329006	283740.9474
158	0.1721135104	283415.0602
159	0.1719000637	282983.4245
160	0.1717764756	282825.0609
161	0.1716668298	282579.891
162	0.1714902422	282232.5651
163	0.1712846763	281846.1835
164	0.171112934	281700.0762
165	0.1708872816	281293.583
166	0.1705686644	280778.7089
167	0.1703359749	280422.0259
168	0.1701434252	279820.7742
169	0.1699571314	279510.1284
170	0.1698910461	279380.412
171	0.1697121596	279081.2157
172	0.1697079489	279043.0556
173	0.1695853816	278736.13
174	0.1695266441	278545.0667
175	0.169259581	278370.0374
176	0.1691384314	278002.4635
177	0.1689753184	277721.1626
178	0.1689120815	277630.6504
179	0.1687633664	277377.7235
180	0.1687362705	277195.7666
181	0.1686399684	277032.9061
182	0.16850804	276919.5403
183	0.1683871155	276762.5567
184	0.168380803	276574.8593
185	0.1682541153	276414.293
186	0.168237822	276352.9347
187	0.1680727951	276231.3377
188	0.1678908856	275861.1205
189	0.167845339	275714.2808
190	0.1676657732	275505.2884
191	0.1675904008	275239.381
192	0.1673509442	275031.4924
193	0.1670969469	274898.8712
194	0.1669318619	274683.168
195	0.1668357167	274403.1289
196	0.1667024736	274211.7148
197	0.1664819899	273998.8299
198	0.1663418516	273803.5345
199	0.1661808642	273426.6334
200	0.1660358723	273259.1314
201	0.1659270325	273064.3768
202	0.1658610048	272919.7693
203	0.1657861216	272685.5649
204	0.1656847103	272496.4098
205	0.1655563102	272243.1116
206	0.165286568	271963.7919
207	0.165095111	271650.2205
208	0.1649997226	271491.2387
209	0.1649952788	271466.7577
210	0.1649186719	271305.0145
211	0.1648173635	271087.8775
212	0.1647554545	270932.3064
213	0.164666661	270744.0737
214	0.1645619455	270620.4984
215	0.1643800565	270514.2579
216	0.1643203567	270289.063
217	0.1641996099	270050.8486
218	0.1639906149	269707.4971
219	0.1638482745	269540.7424
220	0.1637397097	269348.033
221	0.1636493026	269043.0302
222	0.163537999	268710.016
223	0.1634341858	268435.9846
224	0.1632793878	268227.7697
225	0.1632157339	268055.4912
226	0.1631637333	267900.6554
227	0.1630645372	267753.0156
228	0.1629165286	267468.6483
229	0.1628624719	267382.648
230	0.162774448	267163.7334
231	0.1626429337	266908.6625
232	0.1625590654	266762.4236
233	0.1624640035	266337.8274
234	0.1624168816	266210.4426
235	0.162260766	265993.0443
236	0.1621900808	265784.8411
237	0.1621193345	265661.6229
238	0.161956999	265362.856
239	0.1619159771	265268.415
240	0.1618122712	264892.4941
241	0.1617452029	264803.3397
242	0.1616239531	264636.3375
243	0.1614954775	264333.5428
244	0.1614258667	264126.9799
245	0.1613563866	263884.3143
246	0.1612179157	263691.1345
247	0.1611814296	263633.6478
248	0.1611053765	263418.3052
249	0.1610468827	263282.3819
250	0.1609888849	263079.8703
251	0.1609407114	262963.4026
252	0.1608049514	262764.1905
253	0.1605979007	262591.5799
254	0.160440234	262307.6475
255	0.1602703271	262105.5358
256	0.1602436506	261990.9004
257	0.1602151908	261924.4447
258	0.1601354799	261715.4912
259	0.1600733923	261598.5726
260	0.1600351984	261498.4418
261	0.1598875677	261329.6566
262	0.1597214206	260968.0554
263	0.1595876006	260792.1448
264	0.1595608258	260679.6351
265	0.1594334032	260574.2812
266	0.159392775	260462.878
267	0.1592526028	260221.2756
268	0.1591647271	259977.5988
269	0.1590976609	259801.4556
270	0.1590385264	259607.4947
271	0.1589283145	259384.8457
272	0.1588559717	259192.5058
273	0.1588030391	259094.2801
274	0.158701386	258787.1743
275	0.1585292707	258656.4308
276	0.158432432	258523.1976
277	0.1583318101	258335.2292
278	0.1582186379	258130.8843
279	0.1580841343	257981.4878
280	0.1580294114	257714.2442
281	0.1579642957	257622.0437
282	0.1578448974	257472.1997
283	0.1577583743	257363.1826
284	0.1576762598	257093.0871
285	0.1576454175	256917.0359
286	0.1575982097	256780.3462
287	0.1575931855	256757.1065
288	0.1575313354	256556.8901
289	0.1574279465	256382.2968
290	0.1573990039	256286.5689
291	0.1573518203	256166.665
292	0.1573348688	256100.725
293	0.1572992946	256021.678
294	0.1571892946	255826.4223
295	0.1571042511	255672.1678
296	0.1569308249	255300.9583
297	0.1568991887	255230.604
298	0.1567419344	255045.1841
299	0.1566813245	254954.9693
300	0.1565892456	254811.1158
301	0.1564631408	254631.2231
302	0.1563454667	254507.6853
303	0.1561811721	254378.6397
304	0.1561585681	254289.9777
305	0.1560275072	254164.1137
306	0.1559346043	254005.9932
307	0.1558927279	253813.3611
308	0.1557931054	253604.3998
309	0.1555593603	253421.7017
310	0.1554676932	253321.9315
311	0.1553358462	253173.4634
312	0.1552411305	252996.946
313	0.1551371808	252770.9514
314	0.1551184016	252737.0266
315	0.1550966732	252639.3498
316	0.1549945392	252484.1803
317	0.1549404552	252394.1969
318	0.1547997194	252289.9862
319	0.1546671982	252044.4494
320	0.1546122901	251907.1753
321	0.1545366062	251808.6304
322	0.1544654448	251678.8703
323	0.1544505825	251614.9012
324	0.1543680421	251515.5096
325	0.1542362591	251345.6424
326	0.1542181101	251289.9835
327	0.1541638443	251118.2296
328	0.1540636599	251016.3163
329	0.154039428	250931.9071
330	0.1539524826	250747.3729
331	0.1538375465	250586.4543
332	0.1537098349	250410.5642
333	0.1536367858	250294.7735
334	0.1535782168	250141.4314
335	0.1535207416	250067.6653
336	0.153411881	249813.0248
337	0.1533022444	249696.3483
338	0.1532373688	249594.0631
339	0.1532145818	249522.5517
340	0.153211985	249507.4911
341	0.1530800394	249386.7991
342	0.1529613098	249223.5603
343	0.1529004737	248981.5258
344	0.1528460936	248757.7113
345	0.1528012608	248608.1924
346	0.1527710479	248506.8857
347	0.1527421832	248397.3038
348	0.1526801062	248264.529
349	0.152561649	248109.4204
350	0.1524928331	247939.8664
351	0.1523772087	247749.2606
352	0.1522495382	247632.65
353	0.1521953445	247538.5007
354	0.1521282028	247391.8232
355	0.1520849309	247240.5255
356	0.1520227908	247041.0301
357	0.151974111	246908.9026
358	0.1519392343	246761.7077
359	0.1518233521	246596.9626
360	0.1517932726	246519.4402
361	0.1517189092	246375.0195
362	0.1515933091	246228.4306
363	0.1515081498	246115.8363
364	0.1514485709	246039.4101
365	0.1514137964	245956.0705
366	0.1513104146	245766.367
367	0.1512731398	245693.5257
368	0.1512235799	245620.8036
369	0.1512158775	245580.311
370	0.151041664	245460.3818
371	0.1509210912	245350.5843
372	0.150861041	245204.3534
373	0.1508184016	245149.8777
374	0.1508106193	245050.7979
375	0.1507895556	244996.4956
376	0.150691195	244848.6206
377	0.150680206	244813.31
378	0.1506085646	244704.1502
379	0.1504810075	244549.1968
380	0.1504080367	244371.6719
381	0.1503445589	244289.8032
382	0.1502819843	244197.7693
383	0.1501833527	244076.6238
384	0.1501712359	244017.3066
385	0.150159627	243958.3983
386	0.1500956646	243766.2073
387	0.1500597254	243665.9252
388	0.1499892167	243491.0335
389	0.1499415285	243428.1502
390	0.1498463769	243334.1021
391	0.1498079573	243242.3587
392	0.1497744138	243153.8414
393	0.149739775	242999.0795
394	0.1496646751	242931.3868
395	0.149545011	242856.6143
396	0.1495320668	242773.1939
397	0.1494662163	242714.2416
398	0.1494429091	242655.1164
399	0.1494433287	242649.2435
400	0.1493924492	242554.3193
401	0.1493492073	242443.043
402	0.1493339944	242373.1535
403	0.1492758119	242310.2975
404	0.1491849169	242180.2161
405	0.1490732342	242089.9456
406	0.1489943067	241943.0606
407	0.1489702229	241852.2486
408	0.1488784094	241766.9739
409	0.1488628018	241724.7064
410	0.1487847832	241601.0226
411	0.1486923723	241529.5902
412	0.1486852138	241492.3463
413	0.1486218311	241435.2614
414	0.1485222588	241300.6949
415	0.148515559	241279.1893
416	0.1484652087	241222.6992
417	0.1484153888	241151.2625
418	0.1484085155	241110.369
419	0.1483569428	241027.5079
420	0.1482792495	240827.6864
421	0.1482640456	240768.8468
422	0.1482321354	240708.8147
423	0.1481295347	240562.4691
424	0.1481079691	240508.7092
425	0.1480815378	240444.2629
426	0.1480419798	240383.0649
427	0.1480277779	240340.0463
428	0.1479514089	240188.9297
429	0.1479537345	240155.1736
430	0.1478521581	240028.9887
431	0.1477579845	239920.9753
432	0.1477100765	239806.259
433	0.1476542693	239582.8019
434	0.1475900701	239504.3706
435	0.1475509185	239451.6466
436	0.1475001443	239380.0074
437	0.1474489998	239284.2585
438	0.1474377287	239268.6431
439	0.1474316437	239217.57
440	0.147420112	239177.9401
