iter	Logloss
0	0.6927685574
1	0.6923473782
2	0.6919689679
3	0.6915332428
4	0.6911355383
5	0.6905939244
6	0.6902111722
7	0.6898290504
8	0.6894941139
9	0.689146861
10	0.6886565999
11	0.6881206626
12	0.687779569
13	0.6873864468
14	0.6869758114
15	0.6865944626
16	0.6862381396
17	0.6858727797
18	0.6855905875
19	0.6852331302
20	0.6849265669
21	0.6845493976
22	0.6841129509
23	0.6837753427
24	0.6833945279
25	0.6830561163
26	0.6826791018
27	0.6822616289
28	0.6818807932
29	0.68147097
30	0.6810908463
31	0.6807351932
32	0.6803743299
33	0.6800773468
34	0.6797302616
35	0.6793854406
36	0.6789980307
37	0.6786616722
38	0.6782741723
39	0.6779272744
40	0.6775523141
41	0.6772501501
42	0.6768819621
43	0.6765243652
44	0.6762047871
45	0.6757765322
46	0.6753767135
47	0.6749333891
48	0.6746099883
49	0.674306919
50	0.6738961328
51	0.6735880503
52	0.6732701827
53	0.6728692885
54	0.6725268769
55	0.6723003321
56	0.6719409465
57	0.6715989044
58	0.6712843263
59	0.6708370134
60	0.6704763783
61	0.670126642
62	0.6696950844
63	0.6692865071
64	0.66898883
65	0.668613957
66	0.6682995713
67	0.6679556222
68	0.6676252216
69	0.6673016762
70	0.6669365234
71	0.666595135
72	0.6662713941
73	0.6659270152
74	0.6655625615
75	0.6652493068
76	0.6649222558
77	0.6645400749
78	0.6642479898
79	0.6639167638
80	0.6635352674
81	0.66325874
82	0.6629360734
83	0.6625317364
84	0.6622136401
85	0.6619202664
86	0.6615691936
87	0.6612462232
88	0.6609854412
89	0.6606549291
90	0.6602995441
91	0.6599398556
92	0.6595328405
93	0.6592772634
94	0.6589505325
95	0.6585698011
96	0.6581950326
97	0.6578390217
98	0.6574991574
99	0.6571861956
100	0.6568463329
101	0.6565569245
102	0.6562666236
103	0.6559523872
104	0.6556755459
105	0.6553255734
106	0.6549705717
107	0.6546267934
108	0.6543402832
109	0.6540214812
110	0.6537241134
111	0.6533606398
112	0.6530134907
113	0.6526128547
114	0.6523554547
115	0.6520199922
116	0.6517163497
117	0.6514160289
118	0.6510541353
119	0.6506658436
120	0.6503912587
121	0.6501400256
122	0.6497102052
123	0.6494755403
124	0.6491066235
125	0.6488606449
126	0.6485541034
127	0.6483148662
128	0.6480309931
129	0.6476955317
130	0.6473610277
131	0.6470380728
132	0.646679629
133	0.6463525463
134	0.6460327623
135	0.6457414092
136	0.64541517
137	0.6451170407
138	0.6447867016
139	0.6445133369
140	0.6441557245
141	0.6438473816
142	0.6435786237
143	0.6432863596
144	0.6430640188
145	0.64283766
146	0.6425040899
147	0.6421821694
148	0.6418907081
149	0.6416005532
150	0.641252996
151	0.6409706174
152	0.6406216778
153	0.6403594869
154	0.6400253099
155	0.6397317041
156	0.639461177
157	0.6391298094
158	0.6387767264
159	0.638412615
160	0.6380875273
161	0.637794809
162	0.6375017685
163	0.6371818594
164	0.6368372309
165	0.6364595137
166	0.6361244294
167	0.6357106514
168	0.6353984234
169	0.6350334537
170	0.634661598
171	0.6343438627
172	0.6340422153
173	0.6337813501
174	0.6334893948
175	0.633247761
176	0.6329730004
177	0.6327528087
178	0.6324128811
179	0.63211671
180	0.6318213869
181	0.6315026308
182	0.6312184919
183	0.6309035903
184	0.6306181925
185	0.6303189777
186	0.6300139746
187	0.6298178921
188	0.6295422371
189	0.6292267699
190	0.6289069879
191	0.628577778
192	0.6283133855
193	0.6280078612
194	0.6277040279
195	0.6274423769
196	0.6271280117
197	0.6268580815
198	0.62658833
199	0.6263736297
200	0.6260924145
201	0.6257828969
202	0.6254875507
203	0.6252273038
204	0.6249201514
205	0.6246488582
206	0.6243441269
207	0.6239891582
208	0.623722127
209	0.6235166053
210	0.6232776429
211	0.6230051653
212	0.6227711963
213	0.622522717
214	0.6221728451
215	0.6218452002
216	0.6215941076
217	0.6212622134
218	0.6209500958
219	0.6207503147
220	0.620517126
221	0.6203111219
222	0.6199125914
223	0.6195896473
224	0.6192283782
225	0.6188948135
226	0.6186806671
227	0.618410928
228	0.6181542004
229	0.6178988083
230	0.6176656258
231	0.6173610983
232	0.617096246
233	0.6168482093
234	0.6165298043
235	0.6162469717
236	0.6160214183
237	0.6157678151
238	0.6154707623
239	0.6151786486
240	0.6149201683
241	0.6146614877
242	0.6144206893
243	0.6141579542
244	0.6139046977
245	0.613597605
246	0.6132976591
247	0.6130126659
248	0.6127547597
249	0.6124970349
250	0.6121695276
251	0.611919991
252	0.6116324876
253	0.6113904473
254	0.611172012
255	0.6109301387
256	0.6106361995
257	0.6104085355
258	0.6101440371
259	0.6097962473
260	0.6095323548
261	0.6092397409
262	0.6089774469
263	0.6087662833
264	0.6085709436
265	0.608310273
266	0.60808655
267	0.6077409776
268	0.6074418318
269	0.6072191646
270	0.6069980049
271	0.6067926093
272	0.6064934405
273	0.6062050312
274	0.6060246535
275	0.6057895019
276	0.6055521974
277	0.6053526567
278	0.6051392291
279	0.6048824306
280	0.6046294361
281	0.6043440392
282	0.6041185204
283	0.6038596556
284	0.6035401902
285	0.6031925828
286	0.6029377871
287	0.6027274717
288	0.6024685178
289	0.6022433246
290	0.6020037085
291	0.6017562506
292	0.6014934359
293	0.6012646696
294	0.601007047
295	0.6007436303
296	0.6005285148
297	0.6002773354
298	0.6000218391
299	0.599823488
300	0.5995019024
301	0.5991986374
302	0.5989677402
303	0.5986749542
304	0.5983982743
305	0.5980846615
306	0.5978776427
307	0.5976392886
308	0.5974203049
309	0.5971940108
310	0.5969952448
311	0.5967678224
312	0.5965641082
313	0.5962576319
314	0.5960573896
315	0.5958204732
316	0.5955818818
317	0.5953361675
318	0.5950730376
319	0.5948619846
320	0.5945311779
321	0.5942607252
322	0.594075136
323	0.5938532433
324	0.5936356064
325	0.5933476557
326	0.5931115204
327	0.5928572254
328	0.5926027411
329	0.5923680357
330	0.5920694105
331	0.5918587381
332	0.5916013946
333	0.5913765366
334	0.5911762808
335	0.5909421037
336	0.59072536
337	0.5904528373
338	0.5902531376
339	0.5900245363
340	0.5897867165
341	0.5894952784
342	0.5893164675
343	0.5891390654
344	0.5888877106
345	0.5886480475
346	0.5884393506
347	0.5882343747
348	0.5880109191
349	0.5878030245
350	0.5875377997
351	0.5873450163
352	0.5870959905
353	0.5869504375
354	0.5867377269
355	0.5865226672
356	0.5861934443
357	0.5859511777
358	0.58572707
359	0.5855667609
360	0.5853364295
361	0.5851094858
362	0.5849181542
363	0.5846423228
364	0.584372521
365	0.584193896
366	0.5839522647
367	0.5837439979
368	0.5835745621
369	0.583341775
370	0.5831262894
371	0.5829131324
372	0.5827006716
373	0.5825814567
374	0.5823740269
375	0.582180099
376	0.5819316424
377	0.5816945392
378	0.5814955539
379	0.5813671644
380	0.5811400867
381	0.5808379229
382	0.5806409637
383	0.5804896369
384	0.5803133995
385	0.5800468255
386	0.5798082427
387	0.5795062782
388	0.5792430819
389	0.5790593624
390	0.5788769299
391	0.5786300824
392	0.5783849778
393	0.5781768895
394	0.5779578014
395	0.5777182716
396	0.577536821
397	0.5773524536
398	0.5771196663
399	0.5768414174
400	0.5766651349
401	0.5764138043
402	0.5761890838
403	0.5759367975
404	0.5757487874
405	0.5755205136
406	0.5752445391
407	0.5750348595
408	0.5748347572
409	0.5746260089
410	0.5743891892
411	0.5741866978
412	0.5739803797
413	0.5737825879
414	0.5734912076
415	0.5733357279
416	0.5731077011
417	0.5728934152
418	0.5726035558
419	0.5723193677
420	0.5720859833
421	0.5718464893
422	0.5716420644
423	0.5714357958
424	0.5712820702
425	0.5710826217
426	0.5708716996
427	0.5705791393
428	0.5704142188
429	0.570225956
430	0.5699927042
431	0.5697703837
432	0.5694318819
433	0.569195875
434	0.5690349596
435	0.5688895475
436	0.5686520495
437	0.5685274498
438	0.5682986145
439	0.568061747
440	0.5678974069
441	0.5676570778
442	0.5674788828
443	0.5672639878
444	0.5670249367
445	0.5667910385
446	0.5665449513
447	0.5663402255
448	0.5660987873
449	0.5659176713
450	0.5657213606
451	0.5655675523
452	0.56535342
453	0.5651681479
454	0.5649681331
455	0.5647672454
456	0.5645713513
457	0.5643884939
458	0.5641505515
459	0.5638774511
460	0.5637104189
461	0.5635503089
462	0.5633561732
463	0.5631542553
464	0.5629395607
465	0.5627069055
466	0.5625279092
467	0.5623301376
